size,runtime,iters,time variance,iters variance,num timeouts,semantics,start weights,strategy,graph,iterations per argument
10,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
20,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
30,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
40,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
50,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
60,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
70,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
80,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
90,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
100,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
110,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
120,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
130,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
140,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
150,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,10
10,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
20,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
30,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
40,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
50,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
60,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
70,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
80,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
90,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
100,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
110,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
120,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
130,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
140,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
150,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,10
10,0.0441720729090908,17.818181818181817,0.0189126389497113,5.192652151226419,4,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
20,0.3536961812500019,85.75,0.4994823211123546,113.59100609936804,11,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
30,0.1613781100000011,36.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
40,0.2762940329999992,39.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
50,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
60,0.8037228389999882,62.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
70,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
80,1.8294094490000248,85.0,0.1285267563797138,1.4142135623730951,13,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
90,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
100,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
110,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
120,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
130,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
140,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
150,12.282427126000584,156.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,100
10,0.0439637914545456,17.818181818181817,0.0188354734466941,5.192652151226419,4,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
20,0.3542897687500002,85.75,0.5008863153198329,113.59100609936804,11,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
30,0.1613618829999978,36.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
40,0.2752787209999781,39.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
50,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
60,0.8025306639999599,62.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
70,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
80,1.828409856999997,85.0,0.134283096310652,1.4142135623730951,13,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
90,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
100,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
110,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
120,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
130,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
140,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
150,12.4626296739998,156.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.1,100
10,0.0430652659090907,17.818181818181817,0.0183216409732993,5.192652151226419,4,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
20,0.3458895907499997,85.75,0.4884920028133327,113.59100609936804,11,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
30,0.1593703489999995,36.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
40,0.2717934759999991,39.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
50,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
60,0.7920247110000105,62.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
70,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
80,1.805763023999987,85.0,0.1313025676887888,1.4142135623730951,13,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
90,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
100,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
110,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
120,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
130,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
140,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
150,12.237254300000131,156.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.1,2000
10,0.0433532543636364,17.818181818181817,0.0186592254535305,5.192652151226419,4,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
20,0.3493594835000033,85.75,0.4936555459434302,113.59100609936804,11,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
30,0.1595029220000015,36.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
40,0.2716824029999998,39.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
50,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
60,0.7950228880000054,62.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
70,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
80,1.811924217000012,85.0,0.1307708149042037,1.4142135623730951,13,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
90,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
100,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
110,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
120,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
130,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
140,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
150,12.213457570000172,156.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.1,2000
10,0.0004110179999994,0.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
20,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
30,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
40,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
50,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
60,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
70,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
80,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
90,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
100,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
110,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
120,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
130,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
140,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
150,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,10
10,0.0004152309999998,0.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
20,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
30,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
40,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
50,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
60,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
70,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
80,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
90,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
100,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
110,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
120,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
130,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
140,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
150,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,10
10,0.052966924333334,17.333333333333332,0.0418494068235772,11.395905697515518,9,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
20,0.8085794696666669,167.33333333333334,0.8886107185596207,181.33210783899617,12,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
30,0.4696512279999894,61.5,0.337299532893419,37.476659402887016,13,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
40,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
50,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
60,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
70,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
80,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
90,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
100,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
110,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
120,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
130,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
140,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
150,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.3,100
10,0.0530333404999998,17.333333333333332,0.0425632188831169,11.395905697515518,9,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
20,0.8147242516666692,167.33333333333334,0.8972468094886962,181.33210783899617,12,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
30,0.4676418214999955,61.5,0.3362784006978164,37.476659402887016,13,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
40,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
50,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
60,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
70,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
80,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
90,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
100,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
110,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
120,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
130,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
140,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
150,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.3,100
